split,test_start,test_end,n_test,mae,rmse
0,2014-07-01 00:21:00+00:00,2014-09-30 23:20:00+00:00,1552,0.0015836205548053436,0.0017837824746013255
1,2014-10-01 00:21:00+00:00,2014-12-31 16:12:00+00:00,1546,0.0016230511933182246,0.002143273496535913
2,2015-01-01 13:13:00+00:00,2015-03-31 23:08:00+00:00,1518,0.003454996249176233,0.004257845458710443
3,2015-04-01 00:08:00+00:00,2015-06-30 23:41:00+00:00,1558,0.003623946530577606,0.004595146316462765
4,2015-07-01 00:43:00+00:00,2015-09-30 23:29:00+00:00,1580,0.0019273223293357767,0.0027948252968637947
5,2015-10-01 00:29:00+00:00,2015-12-31 16:41:00+00:00,1548,0.0018354466847513276,0.003203279777986193
6,2016-01-03 17:42:00+00:00,2016-03-31 23:39:00+00:00,1541,0.0019138864767667368,0.003171431227001359
7,2016-04-01 00:39:00+00:00,2016-06-30 23:44:00+00:00,1558,0.0025752949203094525,0.0035831774118565574
8,2016-07-01 00:44:00+00:00,2016-09-30 16:39:00+00:00,1572,0.0024986528006672457,0.0027413951790253954
9,2016-10-02 17:39:00+00:00,2016-12-30 16:22:00+00:00,1540,0.00207942377187855,0.002943955946414794
10,2017-01-02 02:25:00+00:00,2017-03-31 16:21:00+00:00,1549,0.0013448481515505868,0.001731051780078497
11,2017-04-02 17:22:00+00:00,2017-06-30 16:29:00+00:00,1557,0.0017251423977435664,0.002429428034245063
12,2017-07-02 17:29:00+00:00,2017-09-29 16:26:00+00:00,1557,0.0012522315300355757,0.0015598035567280526
