split,test_start,test_end,n_test,mae,rmse
0,2014-07-01 00:21:00+00:00,2014-09-30 23:20:00+00:00,1552,0.00010930949494230216,0.0002662244253586435
1,2014-10-01 00:21:00+00:00,2014-12-31 16:12:00+00:00,1546,0.0001972958518931446,0.00047506041511058736
2,2015-01-01 13:13:00+00:00,2015-03-31 23:08:00+00:00,1518,0.0002606246750614528,0.0004982115698046656
3,2015-04-01 00:08:00+00:00,2015-06-30 23:41:00+00:00,1558,0.00029462225119926904,0.0007370956438054082
4,2015-07-01 00:43:00+00:00,2015-09-30 23:29:00+00:00,1580,0.00023199512624284601,0.0005207283176591579
5,2015-10-01 00:29:00+00:00,2015-12-31 16:41:00+00:00,1548,0.00024172925589172447,0.0007813853912337723
6,2016-01-03 17:42:00+00:00,2016-03-31 23:39:00+00:00,1541,0.00023812056065631096,0.0006769504169948645
7,2016-04-01 00:39:00+00:00,2016-06-30 23:44:00+00:00,1558,0.00020430240443135961,0.000546678448618066
8,2016-07-01 00:44:00+00:00,2016-09-30 16:39:00+00:00,1572,0.0001785480369860732,0.00042115320863059805
9,2016-10-02 17:39:00+00:00,2016-12-30 16:22:00+00:00,1540,0.00021418864983716054,0.0005406428305936478
10,2017-01-02 02:25:00+00:00,2017-03-31 16:21:00+00:00,1549,0.00016953472480767806,0.00034499629875879204
11,2017-04-02 17:22:00+00:00,2017-06-30 16:29:00+00:00,1557,0.00017397452080856893,0.0005864967451260775
12,2017-07-02 17:29:00+00:00,2017-09-29 16:26:00+00:00,1557,0.00017564249365154293,0.00036506423225974406
